registry_id,hospital_name,state,lga,facility_level,facility_level_option,ownership,ownership_type,bed_count,doctor_count,nurse_count,ambulance_count,has_emergency_unit,has_operating_theatre,has_icu,has_blood_bank,source
01/06/1/1/1/0033,Mgboko Anya Primary Health Center,Abia,Isiala-Ngwa South,Primary,Primary Health Center,Public,Unknown,12,2,8,1,True,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
01/10/1/2/2/0011,Oji Memorial Hospital,Abia,Ohafia,Secondary,Primary Health Center,Private,Unknown,45,10,24,2,True,True,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
01/05/1/1/1/0001,Ahaba Ukwu Primary Health Center,Abia,Ikwuano,Primary,Primary Health Center,Public,Local Government,12,2,8,1,True,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
05/07/1/1/1/0026,Kadi Kadi Health Post,Bauchi,Gamawa,Primary,Health Post,Public,Local Government,0,0,2,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
05/07/1/1/1/0033,Kiri Kasosi Health Post,Bauchi,Gamawa,Primary,Health Post,Public,Local Government,0,0,2,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
05/07/1/1/1/0050,Udubo Primary Health Clinic,Bauchi,Gamawa,Primary,Primary Health Clinic,Public,Local Government,6,1,4,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
05/07/1/1/1/0053,Yaba Primary Health Clinic,Bauchi,Gamawa,Primary,Primary Health Clinic,Public,Local Government,6,1,4,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
05/07/1/1/1/0010,Dalmari Health Post,Bauchi,Gamawa,Primary,Health Post,Public,Local Government,0,0,2,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
05/07/1/1/1/0048,Tarmasuwa Primary Health Care Center,Bauchi,Gamawa,Primary,Primary Health Center,Public,Local Government,12,2,8,1,True,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
05/07/1/1/1/0006,Bakori Health Post,Bauchi,Gamawa,Primary,Health Post,Public,Local Government,0,0,2,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
05/07/1/1/1/0055,Gayawa Health Post,Bauchi,Gamawa,Primary,Health Post,Public,Local Government,0,0,2,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
05/07/1/1/1/0013,Gadiya Health Post,Bauchi,Gamawa,Primary,Health Post,Public,Local Government,0,0,2,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
05/07/1/1/1/0019,Garin Kure Health Post,Bauchi,Gamawa,Primary,Health Post,Public,Local Government,0,0,2,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
05/07/1/1/1/0028,Kaigamari Primary Health Clinic,Bauchi,Gamawa,Primary,Primary Health Clinic,Public,Local Government,6,1,4,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
05/07/1/1/1/0025,Jadori Health Post,Bauchi,Gamawa,Primary,Health Post,Public,Local Government,0,0,2,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
05/07/1/1/1/0030,Kaisawa Yamma Health Post,Bauchi,Gamawa,Primary,Health Post,Public,Local Government,0,0,2,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
05/07/1/1/1/0029,Kaisawa Dole Health Post,Bauchi,Gamawa,Primary,Health Post,Public,Local Government,0,0,2,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
05/07/1/1/1/0002,Adabda Health Post,Bauchi,Gamawa,Primary,Health Post,Public,Local Government,0,0,2,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
