state,lga,population,centroid_latitude,centroid_longitude,nearest_hospital_registry_id,nearest_hospital_name,nearest_care_km,estimated_travel_time_minutes,average_road_speed_kph,road_access_factor,rurality_index,route_source,source
Oyo,Afijio,118043,7.73344,3.861914,,,,,38.0,1.04,0.98,pending-osrm-cache,WorldPop v2.0 mean population
Oyo,Akinyele,484751,7.57453,3.905701,,,,,38.0,1.04,0.98,pending-osrm-cache,WorldPop v2.0 mean population
Oyo,Atiba,124366,8.052599,3.929345,,,,,38.0,1.04,0.98,pending-osrm-cache,WorldPop v2.0 mean population
Oyo,Atisbo,149942,8.395133,3.265195,,,,,38.0,1.04,0.98,pending-osrm-cache,WorldPop v2.0 mean population
Oyo,Egbeda,478757,7.389841,4.059988,,,,,38.0,1.04,0.98,pending-osrm-cache,WorldPop v2.0 mean population
Oyo,Ibadan North,103274,7.411982,3.904842,,,,,38.0,1.04,0.98,pending-osrm-cache,WorldPop v2.0 mean population
Oyo,Ibadan North East,255650,7.375969,3.924633,,,,,38.0,1.04,0.98,pending-osrm-cache,WorldPop v2.0 mean population
Oyo,Ibadan North West,104359,7.401261,3.876094,,,,,38.0,1.04,0.98,pending-osrm-cache,WorldPop v2.0 mean population
Oyo,Ibadan South East,168078,7.351453,3.899037,,,,,38.0,1.04,0.98,pending-osrm-cache,WorldPop v2.0 mean population
Oyo,Ibadan South West,137649,7.364334,3.866958,,,,,38.0,1.04,0.98,pending-osrm-cache,WorldPop v2.0 mean population
